date,total_events,avg_goldstein,protest_events,conflict_events,govt_events
2015-07-02,68467,0.50159492894387148,1406,4688,7376
2015-07-03,51256,0.5053223037302953,1068,3481,5261
2015-07-04,41244,0.61359955387450282,796,2918,4079
2015-07-05,44501,0.67182984652030275,799,3111,4640
2015-07-06,67763,0.595017930138866,1344,4768,7135
2015-07-07,79401,0.53231445447790393,1664,5471,8147
2015-07-08,83898,0.64321437936541948,1586,5231,8830
2015-07-09,85823,0.582943966069702,1699,5573,8568
2015-07-10,80225,0.59742598940479852,1660,5025,7954
2015-07-11,47287,0.54151458117453,1010,3261,4772
2015-07-12,41583,0.62077050717841509,877,2886,4093
2015-07-13,68657,0.59017725796349951,1522,4398,7292
2015-07-14,80410,0.646022882726029,1861,4483,8484
2015-07-15,85051,0.70484650386238845,1813,4628,8939
2015-07-16,81916,0.53930123541188524,1949,5451,8584
2015-07-17,78351,0.3024032877691416,1872,6278,7989
2015-07-18,50027,0.13046554860375392,1387,4635,4930
2015-07-19,45518,0.41144162748802676,1169,3642,4451
2015-07-20,68126,0.5760810850482927,1489,4856,6702
2015-07-21,78933,0.57814095498714058,1744,5197,8191
2015-07-22,75985,0.49427650194117234,1664,5244,7768
2015-07-23,81215,0.55185618420242544,1785,5325,8437
2015-07-24,77536,0.36126444490301268,1754,6245,7985
2015-07-25,49426,0.32791243475094106,1018,3960,4884
2015-07-26,42401,0.47383552274710505,907,3377,4392
2015-07-27,64779,0.51316012905416841,1384,4638,6989
2015-07-28,76784,0.47177276515940814,1714,5211,8353
2015-07-29,81644,0.41598280339032878,1650,5701,9129
2015-07-30,81590,0.378110751581115,1817,5979,9041
2015-07-31,76079,0.38170322953771746,1629,5433,8351
2015-08-01,49643,0.43304191930382935,1100,3681,5297
2015-08-02,40661,0.40496790536386229,847,3399,4165
2015-08-03,65335,0.45485574347593161,1260,5108,6830
2015-08-04,74245,0.4955792621327838,1419,5232,8201
2015-08-05,79009,0.5007328279056813,1568,5533,8343
2015-08-06,79278,0.388537659094063,1634,5851,8314
2015-08-07,76246,0.41599559321144741,1776,5105,8096
2015-08-08,48088,0.34200840126434923,1149,3615,4905
2015-08-09,40378,0.3072192778245581,993,3414,4070
2015-08-10,63643,0.29948305391009195,1737,5215,6299
2015-08-11,75199,0.33650181518371225,2056,5448,7773
2015-08-12,77343,0.56162807235302481,1740,4964,8168
2015-08-13,78552,0.53650193502393351,1793,4989,8311
2015-08-14,72725,0.5483561361292536,1782,4467,7870
2015-08-15,47893,0.34889649844444931,1221,3605,4889
2015-08-16,40268,0.43191119499354297,937,3213,4353
2015-08-17,62800,0.48099840764331164,1572,4590,6577
2015-08-18,73525,0.56778102686161169,1780,4797,7911
2015-08-19,78722,0.55120804857600147,1687,5103,8226
2015-08-20,76623,0.50816987066546537,1867,5009,8092
2015-08-21,72296,0.43978090074139636,1651,4968,7376
2015-08-22,47720,0.33879505448449293,1133,3831,4930
2015-08-23,45004,0.59186072349124574,959,3076,4347
2015-08-24,62274,0.59977358126987157,1524,4324,6446
2015-08-25,73133,0.60512217466807106,1587,4805,7753
2015-08-26,79895,0.36557231366168119,1790,6780,7976
2015-08-27,79450,0.37551038388923841,1777,6425,7907
2015-08-28,72666,0.4314493710951478,1673,5367,7211
2015-08-29,48512,0.28093873680738796,1155,3933,4688
2015-08-30,40662,0.49490433328414773,859,3086,4059
2015-08-31,64190,0.5694968063561302,1636,4459,6575
2015-09-01,77787,0.44701556815406168,1801,5698,7708
2015-09-02,80487,0.54616646166461724,1892,5499,8299
2015-09-03,78228,0.52387763971979318,1707,5051,8087
2015-09-04,73069,0.50940891486129569,1631,4664,7355
2015-09-05,46213,0.5185943349274017,999,3114,4630
2015-09-06,38638,0.57246751902272319,784,2695,3906
2015-09-07,44211,0.50264640021713991,1036,3168,4519
2015-09-08,69451,0.63678420757080434,1629,4489,7283
2015-09-09,79672,0.77827718646450539,1644,4387,8366
2015-09-10,78646,0.70308470869465711,1888,4643,8117
2015-09-11,77008,0.630534489923124,1863,4816,7771
2015-09-12,46265,0.67787528369177474,951,2852,4745
2015-09-13,39920,0.68666583166332706,724,2566,3974
2015-09-14,64213,0.49116534035164167,1256,4821,6639
2015-09-15,78913,0.55877738775613561,1694,5410,8119
2015-09-16,84138,0.65389241484228211,1620,5015,8458
2015-09-17,85983,0.69324052428968574,1637,4727,8502
2015-09-18,78858,0.763890791042127,1350,4183,7797
2015-09-19,51168,0.63529940587867417,973,3258,4741
2015-09-20,44095,0.80649960312960589,787,2616,4077
2015-09-21,71223,0.82849500863485115,1313,3964,6726
2015-09-22,87209,0.89205242578174282,1804,4313,8230
2015-09-23,90368,1.0050449274079341,1571,4208,8407
2015-09-24,85571,0.94217784062357512,1514,4105,7858
2015-09-25,83153,0.92263713004052872,1567,3998,7684
2015-09-26,53230,0.92725342851775339,1003,2738,4775
2015-09-27,47633,1.0783070560325827,707,2438,3916
2015-09-28,71903,0.946252590295259,1318,3728,6656
2015-09-29,81143,0.80856019619683783,1586,4535,8030
2015-09-30,87592,0.72242898894876306,1702,5288,8756
2015-10-01,90091,0.46838196934210968,1670,7240,9014
2015-10-02,88915,0.019634703196347032,1800,9956,8373
