date,total_mentions,avg_tone
2022-09-01,382067,-2.0799340557578851
2022-09-02,359465,-2.1214768442377885
2022-09-03,234275,-2.2790950179166454
2022-09-04,207057,-2.1139603613233779
2022-09-05,310722,-2.2061774486817338
2022-09-06,414900,-1.6173594176811139
2022-09-07,398519,-1.6587093537288315
2022-09-08,525787,-1.1518241851372539
2022-09-09,454843,-1.0007486210854257
2022-09-10,294492,-0.95842903417434089
2022-09-11,250106,-1.4318328552906738
2022-09-12,393715,-1.3718664865951136
2022-09-13,439996,-1.79845156590156
2022-09-14,427816,-1.9060591587627185
2022-09-15,445103,-1.7784179365098112
2022-09-16,438811,-1.8186898848822695
2022-09-17,298343,-1.7056484582329876
2022-09-18,264852,-1.8722276714827657
2022-09-19,429743,-1.6358568805821094
2022-09-20,419484,-2.237642454318538
2022-09-21,419451,-2.22751228682254
2022-09-22,423265,-2.4279435196068668
2022-09-23,385603,-2.4175655643143159
2022-09-24,256811,-2.6581722588675936
2022-09-25,231308,-2.3702016196376929
2022-09-26,341549,-2.3287783751625759
2022-09-27,374644,-2.2082006837850572
2022-09-28,411348,-2.51734883097624
2022-09-29,408499,-2.280748827631117
2022-09-30,388431,-2.2089215285094794
2022-10-01,279399,-2.537815637641037
2022-10-02,231958,-2.60130956292604
2022-10-03,350086,-2.234279199615147
2022-10-04,389620,-2.1652770435893545
2022-10-05,424646,-2.3865372580883144
2022-10-06,450869,-2.476250950072473
2022-10-07,385728,-2.1975691972762581
2022-10-08,249737,-2.8266189904484049
2022-10-09,217197,-2.9774287505987109
2022-10-10,358363,-2.7328053872630784
2022-10-11,406264,-2.346377393467924
2022-10-12,399446,-2.1937282720625317
2022-10-13,407482,-2.1725302229186991
2022-10-14,382874,-2.5924652522877594
2022-10-15,248222,-2.6343186469369746
2022-10-16,218646,-2.7985017681098578
2022-10-17,338387,-2.5128183967761193
2022-10-18,375517,-2.36694064765247
2022-10-19,393071,-2.2015408864388104
2022-10-20,424785,-2.3161441110229051
2022-10-21,399974,-2.5018604994662228
2022-10-22,242034,-2.3601410511064755
2022-10-23,212924,-2.5620931267402374
2022-10-24,340814,-2.558795033508682
2022-10-25,392472,-2.2339235632065093
2022-10-26,403238,-2.1440257264651126
2022-10-27,384800,-2.1668456868996069
2022-10-28,366562,-2.24724033059866
2022-10-29,250062,-2.9305308982127269
2022-10-30,219601,-2.8777285104559165
2022-10-31,356241,-2.3573168706142238
2022-11-01,357700,-2.1315528845854708
2022-11-02,396848,-2.0827576297894117
2022-11-03,398730,-2.2640354938471248
2022-11-04,385086,-2.013205045568677
2022-11-05,230630,-2.3758857546567387
2022-11-06,199244,-2.3233641846495532
2022-11-07,321640,-1.9732477400619231
2022-11-08,348393,-1.7661709157119427
2022-11-09,402455,-1.5678619764516917
2022-11-10,361901,-1.9066842971969309
2022-11-11,97044,-1.7500330255990939
2022-11-12,282537,-1.753065595418327
2022-11-13,235718,-1.7914772744284828
2022-11-14,358363,-1.9717628500882329
2022-11-15,404284,-2.0684275385692237
2022-11-16,508837,-2.2744199422722895
2022-11-17,418493,-2.2151058904836867
2022-11-18,392068,-2.162626885016945
2022-11-19,250656,-1.9394192593995656
2022-11-20,204841,-2.2130609308515292
2022-11-21,311887,-1.9893193789563834
2022-11-22,352630,-2.0166958577987759
2022-11-23,366591,-2.4572713243957507
2022-11-24,293919,-1.9433794141972154
2022-11-25,274303,-1.8198486209539164
2022-11-26,187887,-2.2207126803900041
2022-11-27,191789,-2.47817308630695
2022-11-28,321135,-2.2571706210047071
2022-11-29,381914,-2.1436572541455288
2022-11-30,395707,-1.9292069831719667
2022-12-01,365092,-1.8892800952417388
2022-12-02,367035,-2.0431094814218396
2022-12-03,226730,-2.0302980343507535
2022-12-04,182803,-2.1114717275041768
2022-12-05,311426,-1.9586321839533829
2022-12-06,382276,-2.1265333762187835
2022-12-07,396717,-2.2076128275849207
2022-12-08,418966,-2.1199081616626239
2022-12-09,363726,-1.948822429329828
2022-12-10,225039,-2.4236245186115406
2022-12-11,188400,-1.9911276897400276
2022-12-12,322409,-2.3125760561288109
2022-12-13,372168,-2.1526494485131
2022-12-14,354201,-2.1061183882286487
2022-12-15,376754,-2.1318120894044017
2022-12-16,357900,-2.3952116205475429
2022-12-17,235788,-2.6706483621851924
2022-12-18,191360,-2.3446859405247711
2022-12-19,318493,-2.2979517462191521
2022-12-20,353746,-2.4069671398833377
2022-12-21,432785,-1.91174568425428
2022-12-22,402015,-1.93066398940889
2022-12-23,321673,-2.3861834961621073
2022-12-24,196444,-2.7208189702164334
2022-12-25,160658,-2.4991915457656453
2022-12-26,227224,-2.9333410038750709
2022-12-27,270975,-2.680797633500954
2022-12-28,306714,-2.5098390155482515
2022-12-29,303723,-2.5068954746070644
2022-12-30,298043,-2.6855167657254913
2022-12-31,236852,-1.992098039159556
2023-01-01,171398,-1.7905816354913524
2023-01-02,235664,-2.575107988012916
2023-01-03,311920,-2.5302971672883152
2023-01-04,362550,-2.37061302467129
2023-01-05,415299,-2.4657127756556423
2023-01-06,365592,-2.3318729801230522
2023-01-07,251980,-2.8108076907361657
2023-01-08,242806,-2.8779491581861789
2023-01-09,420753,-2.5060000575209114
2023-01-10,408333,-2.2248327141113715
2023-01-11,419661,-1.9543184078082521
2023-01-12,410852,-2.0117619052846605
2023-01-13,377836,-2.0482128505767343
2023-01-14,271267,-2.7382142879049716
2023-01-15,217642,-2.5660604910088987
2023-01-16,330804,-2.1760194351882047
2023-01-17,382460,-2.1651667618820079
2023-01-18,403354,-2.4012802683989944
2023-01-19,435609,-2.1800115659477064
2023-01-20,398843,-2.0828083120974079
2023-01-21,274153,-2.5655764258720368
2023-01-22,270874,-2.1831005184644012
2023-01-23,380903,-2.37661072901987
2023-01-24,410796,-2.2958891427084813
2023-01-25,424947,-2.3136189035257115
