date,total_articles,avg_tone
2018-08-14,593247,-1.2479713009864355
2018-08-15,573774,-1.1317858466441342
2018-08-16,565408,-0.96653232046870252
2018-08-17,530150,-0.9967941756573182
2018-08-18,359282,-1.0312168771715562
2018-08-19,322121,-1.0762032861821926
2018-08-20,503205,-1.0365782543279181
2018-08-21,500346,-1.0317162111999145
2018-08-22,528969,-1.1751056240686295
2018-08-23,484765,-1.1055797348154488
2018-08-24,508435,-0.96115736460563306
2018-08-25,348082,-1.1590001340007159
2018-08-26,317787,-1.1175854259881686
2018-08-27,493694,-0.93473437451322772
2018-08-28,544242,-0.93339033410383443
2018-08-29,562409,-0.931892878421762
2018-08-30,548762,-0.93265475100496864
2018-08-31,530730,-0.964402916067741
2018-09-01,355019,-0.94993108312723074
2018-09-02,316332,-1.0207854059978188
2018-09-03,475356,-0.992716478600937
2018-09-04,567976,-1.0239718792083383
2018-09-05,584747,-1.0707107978236508
2018-09-06,582873,-1.0135077963324073
2018-09-07,571165,-1.0226673299675269
2018-09-08,358157,-1.1113747772137845
2018-09-09,339052,-1.0479392405553922
2018-09-10,509434,-0.978109014792517
2018-09-11,570783,-1.12166395036395
2018-09-12,603794,-1.084511391190188
2018-09-13,580771,-1.0933477453002791
2018-09-14,582635,-1.1493686825740592
2018-09-15,367533,-1.3125032993641494
2018-09-16,321935,-1.202914615240146
2018-09-17,536211,-0.98058377621347437
2018-09-18,569166,-0.804020037064395
2018-09-19,588169,-0.90720521717585889
2018-09-20,576381,-0.88740639079089545
2018-09-21,565249,-0.94063859321010479
2018-09-22,360975,-1.0112571962109647
2018-09-23,323262,-0.95731639221376541
2018-09-24,493942,-0.98625919371649828
2018-09-25,566138,-0.95183930306652409
2018-09-26,570232,-0.936191021751552
2018-09-27,562855,-0.87514657041788313
2018-09-28,556082,-0.94359428819057589
2018-09-29,359412,-1.0890970351666875
2018-09-30,312449,-0.9677115054353802
2018-10-01,515574,-0.81854277260139086
2018-10-02,563154,-0.91090837270960479
2018-10-03,559645,-0.92835004320806436
2018-10-04,570397,-0.9989934548100311
2018-10-05,539381,-1.0351954917515584
2018-10-06,349900,-0.96056954918639748
2018-10-07,330594,-1.095416764935901
2018-10-08,494115,-0.92779192840625613
2018-10-09,552597,-1.0080177283473324
2018-10-10,566311,-1.0546449578303183
2018-10-11,567980,-1.1531385724085765
2018-10-12,541655,-0.97950915716448828
2018-10-13,339138,-1.0671893557423657
2018-10-14,313124,-1.0746873260940411
2018-10-15,519457,-0.88719289120351086
2018-10-16,564084,-0.93462243605461637
2018-10-17,574058,-1.0245234048545024
2018-10-18,554243,-0.99458667880905882
2018-10-19,541495,-0.94383701144980892
2018-10-20,350243,-1.0674381985887866
2018-10-21,318305,-1.0456162966307156
2018-10-22,507431,-0.98541452187092848
2018-10-23,560992,-1.0030815285825079
2018-10-24,583375,-0.94593193341214155
2018-10-25,584372,-0.9620728618648744
2018-10-26,533894,-1.0147058555645814
2018-10-27,351018,-1.1459937785590713
2018-10-28,321325,-0.99935854574939409
2018-10-29,535539,-0.904050504732335
2018-10-30,550258,-0.9915174379406626
2018-10-31,582670,-0.90273206281186935
2018-11-01,547509,-0.90271783873659994
2018-11-02,526382,-0.97423974257203882
2018-11-03,349775,-1.0421638556394557
2018-11-04,308912,-0.99698774282976954
2018-11-05,521269,-0.85576434396521139
2018-11-06,541426,-0.90187280539817349
2018-11-07,601005,-0.71353631904654391
2018-11-08,550446,-0.87009540435951249
2018-11-09,562681,-0.99224023025450769
2018-11-10,363992,-1.0494890777346342
2018-11-11,319584,-0.99943421189213044
2018-11-12,513951,-0.89095538629535176
2018-11-13,566746,-0.93031542948425572
2018-11-14,582087,-0.8445437972024803
2018-11-15,578565,-0.8529326946085104
2018-11-16,557582,-0.8840861382531332
2018-11-17,356408,-0.99164061878305909
2018-11-18,317974,-1.0129612806199237
2018-11-19,495891,-0.92809183390898375
2018-11-20,558028,-1.0578497557106397
2018-11-21,544105,-0.950061476116799
2018-11-22,510805,-0.87655712989707291
2018-11-23,490970,-0.85728238511353327
2018-11-24,348606,-0.95321476661335247
2018-11-25,323478,-1.0438175601831956
2018-11-26,533461,-1.0275474184187945
2018-11-27,541581,-0.9293900412589845
2018-11-28,550209,-0.86076288369915965
2018-11-29,544229,-0.81291567848271351
2018-11-30,540067,-0.75838151952603383
2018-12-01,363161,-0.67799883742982114
2018-12-02,308108,-0.6277929565007303
2018-12-03,514098,-0.542558166911299
2018-12-04,381069,-0.673510049107173
2018-12-05,536593,-0.72082148810025892
2018-12-06,532707,-0.71352434151066257
2018-12-07,519106,-0.69848738200540872
2018-12-08,345750,-0.80866014811006914
2018-12-09,303804,-0.70541554927594141
2018-12-10,473457,-0.75158577228653167
2018-12-11,526306,-0.83231160258010972
2018-12-12,559691,-0.83864053563412277
2018-12-13,515825,-0.77854288047119313
2018-12-14,504801,-0.85668977721618356
2018-12-15,329720,-0.73541283353675613
2018-12-16,293668,-0.71830307645190028
2018-12-17,484774,-0.6754726783065611
2018-12-18,522222,-0.72149030015739657
2018-12-19,546701,-0.66173106236809431
2018-12-20,535974,-0.78236837481158672
2018-12-21,480700,-0.81972908125621369
2018-12-22,330185,-0.75984054595532591
2018-12-23,283632,-0.88580712150701557
2018-12-24,366264,-0.63301628750771477
2018-12-25,299263,-0.60801506221834345
2018-12-26,375784,-0.88144626491019806
2018-12-27,431651,-0.80354986847248933
2018-12-28,420526,-0.806070887375924
2018-12-29,316636,-0.9721316578994329
2018-12-30,274105,-0.75792433682385807
2018-12-31,339930,-0.62670955306620268
2019-01-01,279086,-0.54505561804111569
2019-01-02,423596,-0.70202944296276937
2019-01-03,472268,-0.82461853791925932
2019-01-04,455475,-1.0118625091187987
2019-01-05,310118,-0.86944502872924545
2019-01-06,277841,-0.6706266436609043
2019-01-07,445079,-0.5315262455877019
2019-01-08,491357,-0.89459584297876737
2019-01-09,514451,-0.80520391558068094
2019-01-10,520061,-0.82868982082583054
2019-01-11,511033,-0.85210254532243834
2019-01-12,333358,-0.9530278666483607
2019-01-13,298355,-0.77008805051447538
2019-01-14,480651,-0.89442452118200266
2019-01-15,520456,-0.94154147344825823
2019-01-16,523982,-0.83199351157518642
2019-01-17,535910,-0.83428846693404468
2019-01-18,483615,-0.86311031564818974
2019-01-19,338614,-0.91463099841570317
2019-01-20,294991,-0.822416934458595
2019-01-21,454693,-0.8105004399059107
2019-01-22,516000,-0.78456706939762422
2019-01-23,528344,-0.78964368661157969
2019-01-24,544975,-0.8099665775218442
2019-01-25,495335,-0.81898039152035251
2019-01-26,324764,-0.83732687172633713
2019-01-27,299611,-0.90621235741091732
2019-01-28,500907,-0.72027658790209026
2019-01-29,534834,-0.9709754353251715
2019-01-30,560996,-0.86790770340773615
2019-01-31,556082,-0.79134899258855451
2019-02-01,523807,-0.73026172733943162
2019-02-02,340798,-0.795109326224018
2019-02-03,299362,-0.689081320279422
2019-02-04,462991,-0.78184857904843263
2019-02-05,507606,-0.7584940147712127
2019-02-06,502613,-0.72900015846107658
2019-02-07,520671,-0.744726212364525
2019-02-08,499607,-0.7939220153893396
2019-02-09,330386,-0.80247609041300727
2019-02-10,295205,-0.59487306681695906
2019-02-11,494868,-0.47372414437569577
2019-02-12,504210,-0.79898301165002628
2019-02-13,549181,-0.71126082396605517
2019-02-14,546232,-0.7176250903095005
2019-02-15,511183,-0.828645183136458
2019-02-16,340188,-0.97684655977346058
2019-02-17,287575,-0.851462099439807
2019-02-18,458850,-0.79517080283685093
2019-02-19,539586,-0.78980464838407
2019-02-20,537094,-0.73404056940503037
2019-02-21,560632,-0.88194988337653935
2019-02-22,521686,-0.85130739062648175
2019-02-23,345183,-0.80697196426966644
